shape,carat,cut,color,clarity,report,type
Round,1.01,'Super Ideal',I,VVS2,GIA,natural
Round,0.9,Ideal,G,VVS2,GIA,natural
Round,1.01,'Super Ideal',D,VVS2,GIA,natural
Princess,1.21,'Very Good',E,SI1,IGI,lab
Round,0.33,'Super Ideal',E,VS2,GIA,natural
Round,0.5,'Super Ideal',E,SI1,GIA,natural
Round,0.3,'Super Ideal',F,VS2,GIA,natural
Round,0.6,'Super Ideal',E,SI1,GIA,natural
Round,0.55,'Super Ideal',F,IF,GIA,natural
Princess,2.06,Ideal,I,VS2,IGI,lab
Round,1.57,Ideal,F,VVS2,IGI,lab
Princess,0.36,Ideal,F,VS2,GIA,natural
Cushion,1.53,'Very Good',H,SI2,GIA,natural
Oval,2.0,Ideal,I,SI2,IGI,lab
Round,1.0,'Very Good',I,VS1,IGI,lab
Round,1.15,'Super Ideal',H,VVS2,HRD,lab
Round,0.3,'Super Ideal',I,IF,GIA,natural
Princess,1.0,Good,H,SI2,GIA,natural
Emerald,0.5,Ideal,D,VVS1,GIA,natural
Oval,0.5,'Super Ideal',D,VS1,IGI,lab
Round,0.35,'Super Ideal',J,VS1,GIA,natural
Round,0.73,'Super Ideal',G,SI1,IGI,lab
Round,0.4,'Super Ideal',D,VS2,GIA,natural
Pear,1.51,'Super Ideal',H,SI2,GIA,natural
Oval,2.0,Ideal,J,SI1,IGI,lab
Round,1.13,Ideal,F,VVS1,IGI,lab
Radiant,3.37,Ideal,E,VS1,GCAL,lab
Princess,0.36,Ideal,D,SI1,GIA,natural
Round,0.31,'Super Ideal',E,VS1,GIA,natural
Oval,1.81,Ideal,I,SI2,IGI,lab
Oval,1.7,'Super Ideal',F,SI1,GIA,natural
Round,0.3,'Super Ideal',E,SI1,GIA,natural
Princess,2.01,'Super Ideal',H,VVS1,GIA,natural
Round,1.63,Ideal,F,SI1,IGI,lab
Round,0.31,Ideal,D,VVS2,IGI,lab
Round,2.02,Ideal,G,VVS2,IGI,lab
Round,0.56,Ideal,F,VVS2,IGI,lab
Round,0.43,'Super Ideal',E,VS1,GIA,natural
Round,0.7,'Super Ideal',E,SI1,GIA,natural
Round,0.3,'Super Ideal',E,SI1,GIA,natural
Round,0.7,Ideal,E,VS1,IGI,lab
Oval,0.3,Ideal,D,VVS2,GIA,natural
Round,0.53,'Super Ideal',H,VS1,GIA,natural
Oval,0.96,Ideal,I,SI2,GIA,natural
Princess,1.82,Ideal,F,VS1,GCAL,lab
Round,0.51,'Super Ideal',F,VS2,GIA,natural
Round,0.3,Ideal,D,SI1,GIA,natural
Round,0.25,'Super Ideal',F,VS2,GIA,natural
Round,4.79,'Super Ideal',E,VS1,IGI,lab
Round,0.3,Ideal,E,SI2,GIA,natural
Pear,0.9,Good,H,VS1,GIA,natural
Round,1.56,'Super Ideal',I,VS1,IGI,lab
Round,0.7,'Super Ideal',E,VS2,GIA,natural
Round,0.4,'Super Ideal',E,VS2,GIA,natural
Round,1.2,'Super Ideal',D,SI2,GIA,natural
Round,0.6,'Super Ideal',H,VVS2,GIA,natural
Emerald,0.5,Ideal,F,SI1,GIA,natural
Round,1.24,'Super Ideal',D,VVS2,IGI,lab
Princess,0.31,'Very Good',F,SI1,GIA,natural
Round,0.3,'Super Ideal',E,SI1,IGI,lab
Oval,0.46,Ideal,F,VVS2,GIA,natural
Round,2.02,Ideal,H,VS2,IGI,lab
Round,2.03,'Super Ideal',F,VS1,GIA,natural
Round,1.51,Ideal,E,VVS2,IGI,lab
Pear,0.54,Ideal,F,VS1,GCAL,lab
Round,0.32,'Super Ideal',F,VVS1,GIA,natural
Round,0.33,'Super Ideal',E,VS2,IGI,lab
Round,0.4,'Very Good',F,SI1,GIA,natural
Princess,0.32,Ideal,E,SI1,GIA,natural
Round,0.4,'Very Good',E,VVS1,GIA,natural
Princess,0.3,Ideal,F,SI1,GIA,natural
Emerald,0.5,'Very Good',G,VVS2,GIA,natural
Heart,0.3,Ideal,E,SI2,GIA,natural
Oval,0.54,'Super Ideal',E,VVS2,IGI,lab
Princess,2.06,Ideal,J,VS1,IGI,lab
Round,0.58,'Super Ideal',D,VS1,IGI,lab
Cushion,0.7,'Very Good',E,SI2,IGI,lab
Oval,2.0,'Super Ideal',I,SI1,GIA,natural
Round,2.49,'Super Ideal',F,SI1,IGI,lab
Princess,1.72,'Super Ideal',G,SI2,HRD,natural
Radiant,3.1,Ideal,E,VVS2,IGI,lab
Round,0.58,'Super Ideal',F,VVS2,GIA,natural
Oval,0.39,Ideal,D,VS1,IGI,lab
Round,0.3,'Super Ideal',D,VS1,GIA,natural
Round,1.13,'Super Ideal',E,VVS2,IGI,lab
Pear,0.51,Ideal,F,VVS2,IGI,lab
Princess,1.11,Ideal,F,VS2,IGI,lab
Round,3.29,'Super Ideal',F,VVS1,IGI,lab
Round,0.5,Ideal,D,VS1,IGI,lab
Round,0.59,Ideal,F,VS1,IGI,lab
Round,1.0,'Super Ideal',H,SI2,GIA,natural
Round,1.13,Ideal,I,VS1,IGI,lab
Round,0.5,'Super Ideal',E,IF,GIA,natural
Cushion,1.21,Ideal,I,VS2,GIA,natural
Round,2.43,'Super Ideal',E,VVS2,IGI,lab
Round,0.3,'Super Ideal',F,VS2,GIA,natural
Round,0.6,'Super Ideal',G,SI1,GIA,natural
Round,0.5,Ideal,D,VVS2,GIA,natural
Marquise,0.51,Ideal,D,VS2,GIA,natural
Round,1.02,'Super Ideal',G,VVS1,GIA,natural
Pear,0.6,Ideal,I,VVS2,IGI,lab
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Round,0.4,Ideal,F,VVS1,GIA,natural
Round,1.46,'Super Ideal',E,VS1,IGI,lab
Round,0.31,'Super Ideal',D,VS2,GIA,natural
Round,0.3,'Super Ideal',D,VS1,GIA,natural
Round,1.01,'Super Ideal',H,SI2,GIA,natural
Emerald,1.0,Ideal,J,SI1,IGI,lab
Round,0.4,'Very Good',E,SI2,GIA,natural
Round,1.13,Ideal,I,SI1,IGI,lab
Round,0.5,'Super Ideal',F,VVS2,GIA,natural
Emerald,1.21,'Very Good',G,SI2,GIA,natural
Round,1.2,'Super Ideal',I,VVS2,GIA,natural
Round,1.01,'Very Good',I,VS2,GIA,natural
Round,1.18,'Super Ideal',I,VVS2,GCAL,lab
Princess,1.08,Ideal,I,SI2,IGI,lab
Round,0.56,'Super Ideal',I,SI1,GIA,natural
Round,0.73,'Super Ideal',F,VVS2,GIA,natural
Round,1.35,Ideal,I,SI2,IGI,natural
Round,2.13,'Super Ideal',J,VS2,IGI,lab
Cushion,1.7,Ideal,F,VS2,GIA,natural
Round,2.01,'Super Ideal',G,SI1,IGI,lab
Round,0.5,'Very Good',H,VS1,GIA,natural
Round,0.85,Ideal,E,SI2,IGI,lab
Emerald,0.93,Ideal,J,SI1,IGI,lab
Round,0.41,'Super Ideal',D,VS1,GIA,natural
Round,0.56,'Super Ideal',H,IF,GIA,natural
Heart,1.21,Ideal,F,SI2,IGI,natural
Round,0.5,'Super Ideal',E,VVS1,GIA,natural
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Round,0.6,'Very Good',G,VS1,GIA,natural
Princess,1.2,'Super Ideal',F,SI1,GIA,natural
Cushion,2.6,Ideal,F,VS2,GIA,natural
Pear,0.4,'Very Good',G,VS2,IGI,lab
Round,1.07,'Very Good',G,SI1,GCAL,lab
Round,1.12,'Super Ideal',I,VS1,IGI,lab
Emerald,0.95,'Very Good',H,SI1,IGI,lab
Round,0.7,'Super Ideal',E,VVS2,GIA,natural
Emerald,0.32,'Super Ideal',D,VS1,GIA,natural
Oval,0.99,'Very Good',E,VS1,IGI,lab
Cushion,1.31,'Very Good',F,SI2,GIA,natural
Round,0.4,Ideal,D,VS1,GIA,natural
